what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1326038306328
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326038306328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326038308484
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1326038310546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038311593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038316843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038319218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038345093
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1326038345156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038354140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038367593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326038370640
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326038374656
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326038374984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038386828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326038409515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326038412328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326038414234
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326038415281
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1326038422562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1326038423437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326038424078
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1326038424296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326038425578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326038434609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326038436640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326038437390
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326038442531
