what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1326043545796
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1326043545796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043546312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043595078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326043597968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326043599296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043615765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043615906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043620281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043621187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043621500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043621781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043621921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043622171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043622890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043625109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043625343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043625562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043625906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043626078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043626281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043626437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043626578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043627406
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1326043630781
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043630796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326043645203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326043650437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1326043652218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326043652984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043657343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043680359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1326043681328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043683453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043684890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326043699515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043700640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043708093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043711640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043712390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043759953
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326043767125
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1326043769062
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.FileExplorerView",1326043770718
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1326043771625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043773015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043782421
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043786078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043786156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043796906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043813953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043813984
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.FileExplorerView",1326043815234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043817296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043818437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043818500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043818671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043819859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043835671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043838046
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.LogCatView",1326043851625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043858734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043881250
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043881281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043889796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326043892000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326043902421
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326043904906
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1326043907453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043908015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043912687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043913421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043932671
activated,view,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms.views.FileExplorerView",1326043932765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043934203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043934953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043935031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043935078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326043936484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044006593
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1326044009703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044012015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044017046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044027875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044070796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044071546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044073328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044084328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044096562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044100109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1326044100828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044105125
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044111718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044114031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326044125687
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044128906
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044129437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326044132421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1326044135015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1326044135703
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1326044138281
